Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,DateTime,Number Correct,Number Missing,Number Spurious,Number Overlap,Strict Precision,Strict Recall,Strict $F_1$,Lenient $F_1$,Average $F_1$,Number Training Inst,Number Training Docs,Time Training,Time Testing
[Instituce],1,1,Paum_afun,Key,a,20121210_172132,237,9,8,3,0.9556451612903226,0.9518072289156626,0.9537223340040242,0.96579476861167,0.959758551307847,-1,-1,50625,3276
[Instituce],1,2,Paum_afun,Key,a,20121210_172132,157,5,27,0,0.8532608695652174,0.9691358024691358,0.907514450867052,0.907514450867052,0.907514450867052,-1,-1,51099,2638
[Instituce],1,3,Paum_afun,Key,a,20121210_172132,221,15,14,8,0.9094650205761317,0.9057377049180327,0.9075975359342915,0.9404517453798769,0.9240246406570842,-1,-1,50750,3869
[Instituce],1,4,Paum_afun,Key,a,20121210_172132,184,2,15,1,0.92,0.983957219251337,0.9509043927648578,0.9560723514211886,0.9534883720930232,-1,-1,51767,2683
[Instituce],1,5,Paum_afun,Key,a,20121210_172132,185,5,22,0,0.893719806763285,0.9736842105263158,0.9319899244332492,0.9319899244332492,0.9319899244332492,-1,-1,51031,3961
[Instituce],1,6,Paum_afun,Key,a,20121210_172132,260,13,22,0,0.9219858156028369,0.9523809523809523,0.9369369369369369,0.9369369369369369,0.9369369369369369,-1,-1,51566,3541
[Instituce],1,7,Paum_afun,Key,a,20121210_172132,183,1,18,3,0.8970588235294118,0.9786096256684492,0.9360613810741688,0.9514066496163683,0.9437340153452686,-1,-1,50988,3042
[Instituce],1,8,Paum_afun,Key,a,20121210_172132,323,6,23,2,0.9281609195402298,0.9758308157099698,0.9513991163475699,0.9572901325478644,0.9543446244477172,-1,-1,46352,5600
[Instituce],1,9,Paum_afun,Key,a,20121210_172132,255,17,36,5,0.8614864864864865,0.9205776173285198,0.8900523560209423,0.9075043630017451,0.8987783595113437,-1,-1,49099,4460
[Instituce],1,10,Paum_afun,Key,a,20121210_172132,373,11,60,7,0.8477272727272728,0.9539641943734015,0.8977135980746089,0.914560770156438,0.9061371841155235,-1,-1,45743,7098
[Instituce],1,1,Paum_pos,Key,a,20121210_172132,238,9,9,2,0.9558232931726908,0.9558232931726908,0.9558232931726908,0.963855421686747,0.9598393574297188,-1,-1,48986,3166
[Instituce],1,2,Paum_pos,Key,a,20121210_172132,157,5,27,0,0.8532608695652174,0.9691358024691358,0.907514450867052,0.907514450867052,0.907514450867052,-1,-1,47872,2510
[Instituce],1,3,Paum_pos,Key,a,20121210_172132,223,15,13,6,0.9214876033057852,0.9139344262295082,0.9176954732510288,0.9423868312757202,0.9300411522633745,-1,-1,47915,3650
